# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 69K of event 'cpu-clock:pppH'
# Event count (approx.): 17286500000
#
# Overhead  Command          Shared Object       Symbol                                                                
# ........  ...............  ..................  ......................................................................
#
     0.05%  DartWorker       benchmark.exe       [.] 0x0000000000597c1f
     0.05%  DartWorker       [kernel.vmlinux]    [k] tcp_schedule_loss_probe.part.0
     0.05%  DartWorker       benchmark.exe       [.] 0x0000000000532b53
     0.05%  DartWorker       benchmark.exe       [.] 0x0000000000342491
     0.05%  DartWorker       libtransport.so     [.] fiber_channel_has_readers
     0.04%  DartWorker       [kernel.vmlinux]    [k] __mod_timer
     0.04%  DartWorker       [kernel.vmlinux]    [k] io_file_get_flags
     0.04%  DartWorker       [kernel.vmlinux]    [k] ip_protocol_deliver_rcu
     0.04%  DartWorker       [kernel.vmlinux]    [k] ip_skb_dst_mtu
     0.04%  DartWorker       [kernel.vmlinux]    [k] refill_stock
     0.04%  DartWorker       benchmark.exe       [.] 0x000000000057d985
     0.04%  DartWorker       libpthread-2.31.so  [.] __pthread_getspecific
     0.04%  DartWorker       [kernel.vmlinux]    [k] apparmor_socket_recvmsg
     0.04%  DartWorker       [kernel.vmlinux]    [k] check_preemption_disabled
     0.04%  DartWorker       [kernel.vmlinux]    [k] inet_ehashfn
     0.04%  DartWorker       [kernel.vmlinux]    [k] process_backlog
     0.04%  DartWorker       [nf_conntrack]      [k] ipv4_conntrack_local
     0.04%  DartWorker       benchmark.exe       [.] 0x000000000039edbd
     0.04%  DartWorker       [kernel.vmlinux]    [k] memcg_slab_post_alloc_hook
     0.04%  DartWorker       [kernel.vmlinux]    [k] sock_rfree
     0.04%  DartWorker       [kernel.vmlinux]    [k] tcp_release_cb
     0.04%  DartWorker       benchmark.exe       [.] _ZN15MallocExtension25GetEstimatedAllocatedSizeEm
     0.04%  DartWorker       benchmark.exe       [.] 0x00000000005786c0
     0.04%  DartWorker       [kernel.vmlinux]    [k] __schedule
     0.04%  DartWorker       [kernel.vmlinux]    [k] syscall_exit_to_user_mode
     0.04%  DartWorker       [br_netfilter]      [k] ip_sabotage_in
     0.04%  DartWorker       [kernel.vmlinux]    [k] tcp_recvmsg
     0.04%  DartWorker       [kernel.vmlinux]    [k] try_charge_memcg
     0.04%  DartWorker       benchmark.exe       [.] 0x00000000003368c0
     0.04%  DartWorker       benchmark.exe       [.] 0x00000000003483b0
     0.04%  DartWorker       benchmark.exe       [.] 0x000000000034a12e
     0.04%  DartWorker       benchmark.exe       [.] 0x00000000003d61af
     0.04%  DartWorker       benchmark.exe       [.] 0x000000000054ba26
     0.04%  DartWorker       benchmark.exe       [.] 0x00000000005838a5
     0.04%  DartWorker       [kernel.vmlinux]    [k] cubictcp_acked
     0.04%  DartWorker       [nf_nat]            [k] nf_nat_ipv4_pre_routing
     0.04%  DartWorker       benchmark.exe       [.] 0x000000000059985f
     0.04%  DartWorker       libc-2.31.so        [.] __fgetgrent_r
     0.04%  DartWorker       libtransport.so     [.] mslab_tree_next
     0.03%  DartWorker       [kernel.vmlinux]    [k] __skb_clone
     0.03%  DartWorker       [kernel.vmlinux]    [k] do_softirq.part.0
     0.03%  DartWorker       [kernel.vmlinux]    [k] dst_release
     0.03%  DartWorker       [kernel.vmlinux]    [k] kfree_skbmem
     0.03%  DartWorker       [kernel.vmlinux]    [k] sock_read_iter
     0.03%  DartWorker       [nf_conntrack]      [k] nf_ct_get_tuple
     0.03%  DartWorker       libtransport.so     [.] ev_ref@plt
     0.03%  DartWorker       [kernel.vmlinux]    [k] futex_wait_queue
     0.03%  DartWorker       [kernel.vmlinux]    [k] ip_rcv_core
     0.03%  DartWorker       [kernel.vmlinux]    [k] tcp_event_new_data_sent
     0.03%  DartWorker       [kernel.vmlinux]    [k] tcp_v4_fill_cb
     0.03%  DartWorker       benchmark.exe       [.] 0x0000000000336870
     0.03%  DartWorker       benchmark.exe       [.] 0x0000000000349591
     0.03%  DartWorker       benchmark.exe       [.] 0x00000000003d619a
     0.03%  DartWorker       benchmark.exe       [.] 0x00000000005466d2
     0.03%  DartWorker       benchmark.exe       [.] 0x0000000000599882
     0.03%  DartWorker       libpthread-2.31.so  [.] __pthread_enable_asynccancel
     0.03%  DartWorker       [kernel.vmlinux]    [k] _raw_spin_unlock_irq
     0.03%  DartWorker       [kernel.vmlinux]    [k] ktime_get_with_offset
     0.03%  DartWorker       benchmark.exe       [.] tc_realloc
     0.03%  DartWorker       benchmark.exe       [.] 0x00000000004953a0
     0.03%  DartWorker       benchmark.exe       [.] 0x0000000000577f68
     0.03%  DartWorker       libtransport.so     [.] clock_gettime@plt
     0.03%  DartWorker       [kernel.vmlinux]    [k] __alloc_skb
     0.03%  DartWorker       [kernel.vmlinux]    [k] __ksize
     0.03%  DartWorker       [kernel.vmlinux]    [k] _raw_spin_lock_irqsave
     0.03%  DartWorker       [kernel.vmlinux]    [k] apparmor_socket_sendmsg
     0.03%  DartWorker       [kernel.vmlinux]    [k] cubictcp_cwnd_event
     0.03%  DartWorker       [kernel.vmlinux]    [k] netif_rx_internal
     0.03%  DartWorker       benchmark.exe       [.] 0x000000000034a874
     0.03%  DartWorker       benchmark.exe       [.] 0x0000000000597ead
     0.03%  DartWorker       [kernel.vmlinux]    [k] __get_task_ioprio
     0.03%  DartWorker       [kernel.vmlinux]    [k] security_file_permission
     0.03%  DartWorker       [kernel.vmlinux]    [k] sock_sendmsg
     0.03%  DartWorker       [nf_nat]            [k] nf_nat_ipv4_out
     0.03%  DartWorker       benchmark.exe       [.] 0x00000000003dd33c
     0.03%  DartWorker       benchmark.exe       [.] 0x000000000057d7d1
     0.03%  DartWorker       [kernel.vmlinux]    [k] __tcp_push_pending_frames
     0.03%  DartWorker       [kernel.vmlinux]    [k] clear_page_orig
     0.03%  DartWorker       [kernel.vmlinux]    [k] futex_wait_setup
     0.03%  DartWorker       [kernel.vmlinux]    [k] ip_send_check
     0.03%  DartWorker       [kernel.vmlinux]    [k] ipv4_mtu
     0.03%  DartWorker       [kernel.vmlinux]    [k] security_socket_recvmsg
     0.03%  DartWorker       [kernel.vmlinux]    [k] sock_from_file
     0.03%  DartWorker       [kernel.vmlinux]    [k] tcp_check_space
     0.03%  DartWorker       [kernel.vmlinux]    [k] tcp_newly_delivered
     0.03%  DartWorker       benchmark.exe       [.] 0x000000000034571b
     0.03%  DartWorker       benchmark.exe       [.] 0x000000000039ed5c
     0.03%  DartWorker       benchmark.exe       [.] 0x00000000005846f4
